id,title,primary_area,venue,decision,decision_bucket,accepted_label,review_rating_avg,review_confidence_avg,review_count,author_count,keyword_count,title_chars,abstract_chars,has_code_link,md_present,md_line_count,md_figures,md_tables,md_math_blocks,md_has_broken_table_token,md_path
s0JVsx3bx1,1000 Layer Networks for Self-Supervised RL: Scaling Depth Can Enable New Goal-Reaching Capabilities,general_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,5,99,1087,0,0,,,,,,
8P3QNSckMp,A Clean Slate for Offline Reinforcement Learning,reinforcement_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,3,48,1423,1,0,,,,,,
R73ybUciQF,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoencoders,social_and_economic_aspects_of_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,4,85,1175,0,0,,,,,,
WCRPgBpbcA,A multiscale analysis of mean-field transformers in the moderate interaction regime,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,3,6,83,935,0,0,,,,,,
sYK4yPDuT1,A Snapshot of Influence: A Local Data Attribution Framework for Online Reinforcement Learning,social_and_economic_aspects_of_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,8,2,93,1598,0,0,,,,,,
oGmROC4e4W,Adaptive Surrogate Gradients for Sequential Reinforcement Learning in Spiking Neural Networks,reinforcement_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,7,93,1861,0,0,,,,,,
rMhQBlhh4c,Adjoint Schrödinger Bridge Sampler,probabilistic_methods,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,3,34,1522,1,0,,,,,,
iydmH9boLb,Advancing Expert Specialization for Better MoE,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,11,4,46,1209,0,0,,,,,,
XPe55Uffd7,Agnostic Active Learning Is Always Better Than Passive Learning,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,1,8,63,1070,0,0,,,,,,
U8BwT6Rmw4,An Optimized Franz-Parisi Criterion and its Equivalence with SQ Lower Bounds,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,3,76,1684,0,0,,,,,,
WhEPg4mUs6,Analog In-memory Training on General Non-ideal Resistive Elements: The Impact of Response Functions,optimization,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,1,99,1370,0,0,,,,,,
eIDa6pd9iQ,Auto-Compressing Networks,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,3,4,25,1848,0,0,,,,,,
qYkhCah8OZ,Boosting Knowledge Utilization in Multimodal Large Language Models via Adaptive Logits Fusion and Attention Reallocation,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,9,2,120,1587,1,0,,,,,,
RxkCwOKVKa,Breaking the Performance Ceiling in Reinforcement Learning requires Inference Strategies,reinforcement_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,14,3,88,1311,0,0,,,,,,
aUAG1WS7J2,Class-wise Balancing Data Replay for Federated Class-Incremental Learning,general_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,1,73,1624,0,0,,,,,,
aLhA7AYLLR,ControlFusion: A Controllable Image Fusion Network with Language-Vision Degradation Prompts,applications,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,3,91,1283,0,0,,,,,,
jzPQRbGkAq,Deep Compositional Phase Diffusion for Long Motion Sequence Generation,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,4,70,1623,1,0,,,,,,
XO9fhSZkBh,Depth-Bounds for Neural Networks via the Braid Arrangement,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,3,6,58,1047,0,0,,,,,,
zJdutIT6vT,Discovering Opinion Intervals from Conflicts in Signed Graphs,social_and_economic_aspects_of_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,5,61,1253,0,0,,,,,,
4OsgYD7em5,Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,8,2,96,2208,0,0,,,,,,
gL4muAFwsh,Does Stochastic Gradient really succeed for bandits?,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,2,52,1164,0,0,,,,,,
s6k9l5yX8e,Dynam3D: Dynamic Layered 3D Tokens Empower VLM for Vision-and-Language Navigation,applications,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,3,2,81,1750,0,0,,,,,,
ImpizBSKcu,Dynamical Decoupling of Generalization and Overfitting in Large Two-Layer Networks,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,2,1,82,920,0,0,,,,,,
7AwFJzgIUW,Dynamical Low-Rank Compression of Neural Networks with Robustness under Adversarial Attacks,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,3,6,91,879,0,0,,,,,,
Zd6VyjmN1S,ElasticMM: Efficient Multimodal LLMs Serving with Elastic Multimodal Parallelism,infrastructure,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,4,80,1453,0,0,,,,,,
B6bE2GC71a,EvoLM: In Search of Lost Language Model Training Dynamics,evaluation,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,9,4,57,1218,0,0,,,,,,
CaSQgef484,Exploring Diffusion Transformer Designs via Grafting,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,12,4,52,1743,0,0,,,,,,
gm5mkiTGOy,From Condensation to Rank Collapse: A Two-Stage Analysis of Transformer Training Dynamics,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,2,4,89,1143,0,0,,,,,,
WJujF9An5L,FuXi-Ocean: A Global Ocean Forecasting System with Sub-Daily Resolution,machine_learning_for_sciences,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,8,4,71,1293,0,0,,,,,,
1b7whO4SfY,"Gated Attention for Large Language Models: Non-linearity, Sparsity, and Attention-Sink-Free",deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,13,3,91,1562,1,0,,,,,,
rMdf8jhLR7,"Generalized Gradient Norm Clipping & Non-Euclidean $(L_0,L_1)$-Smoothness",optimization,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,4,73,789,1,0,,,,,,
KurYdcCbjv,Generalized Linear Mode Connectivity for Transformers,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,7,53,1528,0,0,,,,,,
eafIjoZAHm,GnnXemplar: Exemplars to Explanations - Natural Language Rules for Global GNN Interpretability,social_and_economic_aspects_of_machine_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,8,94,1299,0,0,,,,,,
UVDihUz0iT,High-Dimensional Calibration from Swap Regret,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,3,45,1992,0,0,,,,,,
cGks3s79hW,High-dimensional neuronal activity from low-dimensional latent dynamics: a solvable model,neuroscience_and_cognitive_science,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,7,89,1542,0,0,,,,,,
NM8Apk61NA,HyperET: Efficient Training in Hyperbolic Space for Multi-modal Large Language Models,applications,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,5,4,85,1529,1,0,,,,,,
MrUsZfQ9pC,Identifiability of Deep Polynomial Neural Networks,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,4,50,1025,0,0,,,,,,
i5WnXNjwbR,ImageNet-trained CNNs are not biased towards texture: Revisiting feature reliance through controlled suppression,evaluation,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,4,4,112,1146,1,0,,,,,,
gxfusMqPIs,Improved Regret Bounds for Gaussian Process Upper Confidence Bound in Bayesian Optimization,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,1,3,91,851,0,0,,,,,,
CH72XyZs4y,In Search of Adam’s Secret Sauce,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,2,5,32,1268,0,0,,,,,,
JcEqp4aPmb,InfinityStar: Uniﬁed Spacetime AutoRegressive Modeling for Visual Generation,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,9,4,76,1082,0,0,,,,,,
fohuurA03P,Interactive Cross-modal Learning for Text-3D Scene Retrieval,applications,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,3,60,1618,0,0,,,,,,
JFygzwx8SJ,KVzip: Query-Agnostic KV Cache Compression with Context Reconstruction,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,4,70,1119,0,0,,,,,,
KnqiC0znVF,Large Language Diffusion Models,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,10,5,31,1251,0,0,,,,,,
NM4emKloy6,Learning (Approximately) Equivariant Networks via Constrained Optimization,deep_learning,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,3,6,74,1360,0,0,,,,,,
QN0E0KX2LM,Learning Linear Attention in Polynomial Time,theory,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,6,3,44,1117,0,0,,,,,,
w1ihNiIBOc,Learning long range dependencies through time reversal symmetry breaking,machine_learning_for_sciences,NeurIPS 2025 oral,Accept (oral),oral,1,,,0,2,7,72,1794,0,0,,,,,,
